label,aliases
has cause,"cause, has causes, has underlying cause, underlying cause, ultimate cause, ultimate causes, initial cause, effect of, outcome of, result of, because of, has reason, reason, caused by, implied by, because, due to, originated due to, had cause, had reason, had underlying cause, driven by"
has effect,"drives, effect, has result, result, has outcome, outcome, has symptom, consequence, implies, cause of, led to, causing, resulting, driving, leading"
